city,date,value,delta
"South Bend city, Indiana",2011,0.31118060985144647,-0.08660277651967174
"South Bend city, Indiana",2012,0.2408218764163771,-0.07035873343506938
"South Bend city, Indiana",2013,0.18373454782042942,-0.05708732859594767
"South Bend city, Indiana",2014,0.189057906174102,0.0053233583536725915
"South Bend city, Indiana",2015,0.13156172273857836,-0.05749618343552365
"South Bend city, Indiana",2016,0.20489749430523918,0.07333577156666082
"South Bend city, Indiana",2017,0.11705685618729098,-0.0878406381179482
"South Bend city, Indiana",2018,0.04395729213993639,-0.07309956404735458
"South Bend city, Indiana",2019,0.1237465564738292,0.07978926433389281
"Tempe city, Arizona",2005,0.062289808451528005,
"Tempe city, Arizona",2006,0.10807564265367059,0.045785834202142585
"Tempe city, Arizona",2007,0.08779123237277743,-0.02028441028089316
"Tempe city, Arizona",2008,0.07396071442408275,-0.013830517948694679
"Tempe city, Arizona",2009,0.09419611075724081,0.02023539633315806
"Tempe city, Arizona",2010,0.17974359938343545,0.08554748862619464
"Tempe city, Arizona",2011,0.19133379512044948,0.01159019573701403
"Tempe city, Arizona",2012,0.11506471224497408,-0.0762690828754754
"Tempe city, Arizona",2013,0.08468341551224857,-0.030381296732725507
"Tempe city, Arizona",2014,0.08130513024751453,-0.003378285264734049
"Tempe city, Arizona",2015,0.08472366177404794,0.0034185315265334165
"Tempe city, Arizona",2016,0.07655374766604428,-0.008169914108003662
"Tempe city, Arizona",2017,0.10138146167557932,0.02482771400953504
"Tempe city, Arizona",2018,0.09709836740293593,-0.004283094272643395
"Tempe city, Arizona",2019,0.10206337509211497,0.004965007689179041
"Tulsa city, Oklahoma",2005,0.14278138258048415,
"Tulsa city, Oklahoma",2006,0.1775688858739542,0.03478750329347005
"Tulsa city, Oklahoma",2007,0.09817705955750328,-0.07939182631645092
"Tulsa city, Oklahoma",2008,0.09260919291521127,-0.005567866642292002
"Tulsa city, Oklahoma",2009,0.11070157200012601,0.018092379084914734
"Tulsa city, Oklahoma",2010,0.11229829233902554,0.0015967203388995294
"Tulsa city, Oklahoma",2011,0.1321235841783787,0.01982529183935315
"Tulsa city, Oklahoma",2012,0.13827443923928892,0.006150855060910232
"Tulsa city, Oklahoma",2013,0.1393175530279742,0.0010431137886852682
"Tulsa city, Oklahoma",2014,0.10475695347023654,-0.034560599557737645
"Tulsa city, Oklahoma",2015,0.13454874660506352,0.02979179313482698
"Tulsa city, Oklahoma",2016,0.15730372420734776,0.022754977602284232
"Tulsa city, Oklahoma",2017,0.12509228645716303,-0.03221143775018473
"Tulsa city, Oklahoma",2018,0.09835680751173709,-0.02673547894542594
"Tulsa city, Oklahoma",2019,0.11047309152390979,0.012116284012172698
